Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776644418,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776644419,5,,Aggregated,0.000000,0.000000,21,21,22,22,56,56,56,56,56,56,56,8,5,17,19.452487482340075,2.2104999516159296,55.90829998254776,3859.0
1776644420,10,,Aggregated,0.000000,0.000000,7,16,18,18,21,22,56,56,56,56,56,27,18,7,11.350670368065712,1.442299922928214,55.90829998254776,2695.3703703703704
1776644421,15,,Aggregated,5.000000,2.000000,6,10,14,16,19,21,22,56,56,56,56,55,37,6,9.558692724782635,1.442299922928214,55.90829998254776,3015.4727272727273
1776644422,20,,Aggregated,8.500000,5.500000,6,8,10,13,18,21,22,56,56,56,56,90,55,6,8.45372888725251,1.442299922928214,55.90829998254776,3789.4777777777776
1776644423,20,,Aggregated,11.333333,7.333333,6,8,10,14,17,19,21,22,56,56,56,125,78,6,8.353084802627563,1.442299922928214,55.90829998254776,3720.6
1776644424,20,,Aggregated,16.250000,10.750000,6,8,10,13,18,21,26,30,56,56,56,161,98,6,8.384571429515569,1.442299922928214,55.90829998254776,3913.509316770186
1776644425,20,,Aggregated,19.400000,12.000000,6,8,10,13,18,22,28,52,56,56,56,194,120,6,8.370648969934543,1.2140999315306544,55.90829998254776,3833.9845360824743
1776644426,20,,Aggregated,21.500000,13.333333,6,8,10,12,18,22,27,30,56,56,56,229,138,6,8.329420960020258,1.2140999315306544,55.90829998254776,4013.078602620087
1776644427,20,,Aggregated,23.285714,14.142857,6,7,9,10,17,21,26,30,56,56,56,261,158,6,7.721567818167052,1.2140999315306544,55.90829998254776,3995.8429118773947
1776644428,20,,Aggregated,24.625000,15.000000,5,7,8,10,16,21,26,30,56,56,56,298,181,5,7.105129196671082,1.2006000615656376,55.90829998254776,3984.8221476510066
1776644429,20,,Aggregated,25.777778,15.666667,5,6,8,9,16,21,24,28,56,56,56,331,198,5,6.8446271919175485,1.2006000615656376,55.90829998254776,4085.725075528701
1776644430,20,,Aggregated,26.700000,16.000000,5,7,8,10,16,21,25,28,56,56,56,362,214,5,7.194003039772895,1.2006000615656376,55.90829998254776,4162.897790055249
1776644431,20,,Aggregated,29.500000,18.000000,5,7,8,10,16,21,25,28,56,56,56,394,232,5,7.214677666945071,1.2006000615656376,55.90829998254776,4191.271573604061
1776644432,20,,Aggregated,31.600000,18.800000,5,7,8,10,16,21,24,27,56,56,56,427,253,5,7.100712648370418,1.2006000615656376,55.90829998254776,4157.646370023419
1776644433,20,,Aggregated,33.000000,19.300000,5,7,8,10,16,21,24,27,56,56,56,460,270,5,7.0127300027271975,1.2006000615656376,55.90829998254776,4217.854347826087
1776644434,20,,Aggregated,33.000000,18.900000,5,7,8,10,16,20,24,27,56,56,56,494,287,5,6.927387451664413,1.2006000615656376,55.90829998254776,4282.147773279352
1776644435,20,,Aggregated,33.100000,19.400000,5,7,8,9,15,19,23,26,56,56,56,524,303,5,6.846967559371798,1.2006000615656376,55.90829998254776,4312.414122137405
